TradeID,ExecutionTime,Quantity,Price,Counterparty,Instrument,TradeSide,Trader,Desk,ExecutionVenue,qty_zscore,price_dev_pct,party_freq_1hr,qty_zscore_scaled,price_dev_pct_scaled,party_freq_1hr_scaled,risk_score,anomaly_score,is_anomaly,severity_level,anomaly_type,flagged_reason
T1000,2026-07-23 05:51:59,2164029.0,0.0067,Goldman Sachs,JPYUSD,SELL,John Smith,FX,CME,-0.33187004217433946,0.003169293071573326,6,-0.3318700421743396,-0.2432256820019783,-1.018763258525093,1.9336988047912076,0.073,False,LOW,NORMAL,Multi-factor anomaly (risk score > threshold)
T0999,2026-07-23 05:50:21,200.5,181.5583,Morgan Stanley,GOOGL,SELL,Jane Doe,Equities,CME,-0.31822145358843623,0.011775280871903894,13,-0.31822145358843634,0.1603781312167608,1.4773315296007916,4.0308211656969455,0.3064,False,LOW,NORMAL,Multi-factor anomaly (risk score > threshold)
T0998,2026-07-23 05:48:35,277.13,421.0746,Goldman Sachs,MSFT,BUY,John Smith,Equities,NASDAQ,-0.18490651605126587,0.002778778484431951,6,-0.18490651605126593,-0.26154004406530196,-1.018763258525093,1.8747962399658358,0.0739,False,LOW,NORMAL,Multi-factor anomaly (risk score > threshold)
T0997,2026-07-23 05:46:40,254.81,149.6321,Bank of America,AAPL,BUY,Alice Johnson,Equities,CBOE,-0.2330122169037911,0.004768155489678151,7,-0.23301221690379115,-0.16824219565141035,-0.6621782887928237,2.19463533340842,0.0483,False,LOW,NORMAL,Multi-factor anomaly (risk score > threshold)
T0996,2026-07-23 05:45:32,1000000.0,1.1018,Citigroup,EURUSD,SELL,Jane Doe,FX,NASDAQ,-0.6121418841864044,0.003287525072141874,8,-0.6121418841864045,-0.23768083492793143,-0.3055933190605545,2.645843011196204,0.1498,False,LOW,NORMAL,Multi-factor anomaly (risk score > threshold)
T0995,2026-07-23 05:44:08,4168664.79,1.2757,Citigroup,GBPUSD,BUY,John Smith,FX,NYSE,0.25906672813309223,0.00496444071629161,7,0.25906672813309223,-0.1590368065923353,-0.6621782887928237,2.2051160234681246,0.2088,False,LOW,NORMAL,Multi-factor anomaly (risk score > threshold)
T0994,2026-07-23 05:42:19,283.17,150.0545,UBS,AAPL,SELL,Bob Wilson,Equities,CME,-0.15497941690016373,0.0019586919379326233,6,-0.15497941690016379,-0.3000004817298547,-1.018763258525093,1.8625793743414452,0.0864,False,LOW,NORMAL,Multi-factor anomaly (risk score > threshold)
T0993,2026-07-23 05:40:20,297.59,179.8359,Bank of America,GOOGL,SELL,Alice Johnson,Equities,NASDAQ,-0.09231217151329162,0.002176811709250573,6,-0.09231217151329166,-0.28977109569250264,-1.018763258525093,1.8375779121180917,0.0835,False,LOW,NORMAL,Multi-factor anomaly (risk score > threshold)
T0992,2026-07-23 05:39:11,174.48,420.1607,Morgan Stanley,MSFT,BUY,Alice Johnson,Equities,CBOE,-0.42475241333135133,0.0006023481662487174,13,-0.42475241333135144,-0.3636103230389586,1.4773315296007916,4.070081669782415,0.2658,False,LOW,NORMAL,Multi-factor anomaly (risk score > threshold)
T0991,2026-07-23 05:38:37,185.75,178.9387,Morgan Stanley,GOOGL,SELL,Alice Johnson,Equities,CBOE,-0.3525417946184948,0.002823041131397693,12,-0.3525417946184949,-0.25946421343283904,1.1207465598685225,3.741863630186817,0.1248,False,LOW,NORMAL,Multi-factor anomaly (risk score > threshold)
T0990,2026-07-23 05:36:45,338.49,152.484,Morgan Stanley,AAPL,BUY,Jane Doe,Equities,CME,-0.0027659297280670254,0.014200379319089402,12,-0.0027659297280670544,0.2741104538070064,1.1207465598685225,3.6053664856869534,0.3341,False,LOW,NORMAL,Multi-factor anomaly (risk score > threshold)
